Location,Month,Model,RMSE,MAE
Lumbia,Jul,BiLSTM,43.18863068150048,34.54024963378905
Lumbia,Jul,Transformer,46.67267689749375,46.58564453124999
Lumbia,Aug,ARIMA,113.49985326596283,103.44504368745133
Lumbia,Aug,LSTM,28.162629151768808,26.727013142903655
Lumbia,Aug,GRU,28.969199373361196,26.634321085611987
Lumbia,Aug,LSTM-GRU,27.940305750768392,26.43641459147136
Lumbia,Aug,BiLSTM,27.030840284397172,25.49004923502605
Lumbia,Aug,Transformer,29.465616434524314,26.349098714192717
Lumbia,Sep,ARIMA,229.2261543487577,220.38756906840717
Lumbia,Sep,LSTM,46.952740670915205,38.24305725097656
Lumbia,Sep,GRU,42.917847964690566,34.48233540852865
Lumbia,Sep,LSTM-GRU,47.12941968449179,38.05187479654948
Lumbia,Sep,BiLSTM,45.39599794142311,37.097869873046875
Lumbia,Sep,Transformer,30.01389987291911,25.61907450358073
Lumbia,Oct,ARIMA,113.62242368980942,102.47789494189686
Lumbia,Oct,LSTM,10.163395102353073,9.895977783203127
Lumbia,Oct,GRU,15.734992480693366,12.22204793294271
Lumbia,Oct,LSTM-GRU,11.347334916420543,8.854270426432294
Lumbia,Oct,BiLSTM,10.366103958483631,9.593940226236981
Lumbia,Oct,Transformer,20.42628059556784,17.228646850585932
Lumbia,Nov,ARIMA,73.17699094978313,65.97334681382269
Lumbia,Nov,LSTM,64.93462247479106,56.857328287760424
Lumbia,Nov,GRU,63.04759537819411,55.29590657552084
Lumbia,Nov,LSTM-GRU,66.57410735262519,58.750140380859385
Lumbia,Nov,BiLSTM,60.978176096133716,54.02891337076824
Lumbia,Nov,Transformer,57.96588318894928,48.276578776041674
Lumbia,Dec,ARIMA,97.94424967284466,94.28704952716699
Lumbia,Dec,LSTM,150.05244478577066,138.17596893310548
Lumbia,Dec,GRU,147.1176224867117,136.02566731770835
Lumbia,Dec,LSTM-GRU,147.240821123001,136.0547073364258
Lumbia,Dec,BiLSTM,149.3161361209224,137.5563959757487
Lumbia,Dec,Transformer,149.3566914309049,137.62470703125
Kisolon,Jan,ARIMA,220.9395538343642,208.8336248709189
Kisolon,Jan,LSTM,49.98623152238827,49.33875528971354
Kisolon,Jan,GRU,49.70178136897481,49.673876444498696
Kisolon,Jan,LSTM-GRU,51.352013391478316,51.30693054199219
Kisolon,Jan,BiLSTM,49.93119390219496,49.43336741129557
Kisolon,Jan,Transformer,48.0692475881357,46.59298960367838
Kisolon,Feb,ARIMA,56.86453217939887,48.23751729591836
Kisolon,Feb,LSTM,66.83149226256418,55.560157775878906
Kisolon,Feb,GRU,66.98408614750434,56.27155558268229
Kisolon,Feb,LSTM-GRU,67.51929304469034,56.64605204264323
Kisolon,Feb,BiLSTM,66.6402450615873,55.56963602701823
Kisolon,Feb,Transformer,70.30266942675777,57.40147145589193
Kisolon,Mar,ARIMA,74.03418882369967,69.82261806534325
Kisolon,Mar,LSTM,36.95946662229812,34.03805287679037
Kisolon,Mar,GRU,30.077558933925488,27.2930425008138
Kisolon,Mar,LSTM-GRU,32.414046852829415,29.76378885904948
Kisolon,Mar,BiLSTM,36.299912416752285,33.68479665120443
Kisolon,Mar,Transformer,20.34305871296234,17.19353993733724
Kisolon,Apr,ARIMA,97.28781550144541,93.57978672741628
Kisolon,Apr,LSTM,97.50445438292375,97.15523020426433
Kisolon,Apr,GRU,100.40304215092843,100.11455790201823
Kisolon,Apr,LSTM-GRU,96.32905078926328,96.11220296223958
Kisolon,Apr,BiLSTM,100.44861718183397,100.12559763590495
Kisolon,Apr,Transformer,86.79527051879019,86.43737030029297
Kisolon,May,ARIMA,127.0224672868822,74.11790232405474
Kisolon,May,LSTM,94.48531166147997,79.70637512207031
Kisolon,May,GRU,112.84033434000986,99.54697163899739
Kisolon,May,LSTM-GRU,103.40955663372208,89.89944966634114
Kisolon,May,BiLSTM,89.52960639787273,75.03277079264323
Kisolon,May,Transformer,138.41363154154172,129.43767293294272
Kisolon,Jun,ARIMA,166.31375465771552,98.71577852923399
Kisolon,Jun,LSTM,142.15018200309962,110.70464579264323
Kisolon,Jun,GRU,167.39350801303422,141.52916971842447
Kisolon,Jun,LSTM-GRU,143.08164915208354,112.2345682779948
Kisolon,Jun,BiLSTM,159.45954802188527,132.5615692138672
Kisolon,Jun,Transformer,145.18661901061736,114.70948282877605
Kisolon,Jul,ARIMA,154.00017560510656,121.66252851654629
Kisolon,Jul,LSTM,69.62010489997044,56.0693105061849
Kisolon,Jul,GRU,68.01877789697672,52.486602783203125
Kisolon,Jul,LSTM-GRU,62.34965078893623,49.162078857421875
Kisolon,Jul,BiLSTM,66.4564618131069,51.19213358561198
Kisolon,Jul,Transformer,51.1188577696063,40.257853190104164
Kisolon,Aug,ARIMA,73.78522805784,67.03464718999754
Kisolon,Aug,LSTM,48.74512489782998,40.97649129231771
Kisolon,Aug,GRU,49.10213779163437,42.167643229166664
Kisolon,Aug,LSTM-GRU,45.73840908919304,37.58333841959635
Kisolon,Aug,BiLSTM,47.511348177503024,39.90714009602865
Kisolon,Aug,Transformer,34.87047136202142,28.051849365234375
Kisolon,Sep,ARIMA,33.108841222305685,25.527096196354325
Kisolon,Sep,LSTM,70.30105703004192,56.70979309082031
Kisolon,Sep,GRU,62.481568064143026,52.66502888997396
Kisolon,Sep,LSTM-GRU,54.60046007869399,49.062967936197914
Kisolon,Sep,BiLSTM,78.12104838541593,65.1414794921875
Kisolon,Sep,Transformer,38.41850395384471,36.11251322428385
Kisolon,Oct,ARIMA,206.48021220750246,176.67642773315848
Kisolon,Oct,LSTM,17.648532530836547,13.787343343098959
Kisolon,Oct,GRU,22.234915941239237,15.523686726888021
Kisolon,Oct,LSTM-GRU,18.8197584006674,14.250717163085938
Kisolon,Oct,BiLSTM,20.900862533258213,15.483973185221354
Kisolon,Oct,Transformer,18.67842890574103,18.276458740234375
Kisolon,Nov,ARIMA,61.85632166481715,37.75093631909985
Kisolon,Nov,LSTM,96.937598956525,78.37483723958333
Kisolon,Nov,GRU,96.69821130860352,76.91751607259114
Kisolon,Nov,LSTM-GRU,101.21675429097591,82.90664672851562
Kisolon,Nov,BiLSTM,100.36821473538724,81.40530904134114
Kisolon,Nov,Transformer,93.93952532985618,73.62344868977864
Kisolon,Dec,ARIMA,119.35754483799482,106.22440270066147
Kisolon,Dec,LSTM,54.22748995949895,39.9640858968099
Kisolon,Dec,GRU,51.38586067638814,35.54646301269531
Kisolon,Dec,LSTM-GRU,54.63470398809392,41.81553649902344
Kisolon,Dec,BiLSTM,51.34508884876338,37.912577311197914
Kisolon,Dec,Transformer,43.40709023982778,29.16620381673177
PhilipsManolo,Jan,ARIMA,92.39807169332708,82.21407116890383
PhilipsManolo,Jan,LSTM,207.37454890023292,186.36174519856772
PhilipsManolo,Jan,GRU,213.54427067883637,188.90832010904947
PhilipsManolo,Jan,LSTM-GRU,207.30753906401316,186.14979553222656
PhilipsManolo,Jan,BiLSTM,206.55594136827295,185.93240356445312
PhilipsManolo,Jan,Transformer,215.37189808644763,189.48456573486328
PhilipsManolo,Feb,ARIMA,93.48913444624874,82.64651302855621
PhilipsManolo,Feb,LSTM,66.73189906104513,52.991845194498694
PhilipsManolo,Feb,GRU,66.6105368907713,53.586248779296874
PhilipsManolo,Feb,LSTM-GRU,63.83486745568142,51.61610514322916
PhilipsManolo,Feb,BiLSTM,64.19826459372571,51.307231648763015
PhilipsManolo,Feb,Transformer,56.18814624364349,42.34413248697917
PhilipsManolo,Mar,ARIMA,32.16349373579945,31.207397123458275
PhilipsManolo,Mar,LSTM,36.65675846109517,30.868861389160156
PhilipsManolo,Mar,GRU,39.1171517219166,33.97556864420573
PhilipsManolo,Mar,LSTM-GRU,39.82470924321252,34.66992492675781
PhilipsManolo,Mar,BiLSTM,37.59294023230759,31.95580342610677
PhilipsManolo,Mar,Transformer,39.2310488002717,34.145793151855464
PhilipsManolo,Apr,ARIMA,59.27165725175739,38.89695167937689
PhilipsManolo,Apr,LSTM,83.42934500622954,72.27408548990884
PhilipsManolo,Apr,GRU,84.90229380743811,73.47700703938801
PhilipsManolo,Apr,LSTM-GRU,85.95605647493207,74.91024983723958
PhilipsManolo,Apr,BiLSTM,95.24799090314468,83.79850972493489
PhilipsManolo,Apr,Transformer,81.08086453520144,69.30385538736978
PhilipsManolo,May,ARIMA,361.33743741661317,317.4929765168011
PhilipsManolo,May,LSTM,71.2488881693817,60.667884318033856
PhilipsManolo,May,GRU,67.95481060921959,59.74215901692708
PhilipsManolo,May,LSTM-GRU,73.4597866818575,65.80347900390625
PhilipsManolo,May,BiLSTM,70.37205841695733,59.53728434244792
PhilipsManolo,May,Transformer,63.681551108891384,55.432761637369794
PhilipsManolo,Jun,ARIMA,200.6597977597898,190.47799828994576
PhilipsManolo,Jun,LSTM,102.63983576185234,87.27747802734376
PhilipsManolo,Jun,GRU,102.09166423007804,84.99778442382814
PhilipsManolo,Jun,LSTM-GRU,102.21638820399642,85.88760579427084
PhilipsManolo,Jun,BiLSTM,101.85970778380494,87.28744710286459
PhilipsManolo,Jun,Transformer,101.50233462478243,82.31467895507814
PhilipsManolo,Jul,ARIMA,205.41829481801807,154.82343120669958
PhilipsManolo,Jul,LSTM,99.76282914651107,86.80434977213542
PhilipsManolo,Jul,GRU,98.70383932721056,85.57269083658855
PhilipsManolo,Jul,LSTM-GRU,98.11879956027173,85.711474609375
PhilipsManolo,Jul,BiLSTM,98.0713772678888,85.65467122395835
PhilipsManolo,Jul,Transformer,96.6180175779972,88.78096313476563
PhilipsManolo,Aug,ARIMA,169.36897081595316,104.11154894820383
PhilipsManolo,Aug,LSTM,143.3382924310318,133.21139729817708
PhilipsManolo,Aug,GRU,144.66577287649562,134.22758178710936
PhilipsManolo,Aug,LSTM-GRU,144.8585025078864,134.52373453776042
PhilipsManolo,Aug,BiLSTM,143.29824689440787,133.28919677734373
PhilipsManolo,Aug,Transformer,142.19761501718082,133.1936258951823
PhilipsManolo,Sep,ARIMA,128.83537232904538,86.01283182348573
PhilipsManolo,Sep,LSTM,32.74247558764061,29.56248168945312
PhilipsManolo,Sep,GRU,21.05530959809206,18.68650512695312
PhilipsManolo,Sep,LSTM-GRU,22.79632730933109,21.377331542968744
PhilipsManolo,Sep,BiLSTM,30.29323762413235,26.931540934244783
PhilipsManolo,Sep,Transformer,20.9960363288792,17.707063802083326
PhilipsManolo,Oct,ARIMA,345.79194342027995,311.963538061459
PhilipsManolo,Oct,LSTM,128.72403589760856,86.57594807942708
PhilipsManolo,Oct,GRU,131.28207753589888,86.06791178385417
PhilipsManolo,Oct,LSTM-GRU,130.23800766900607,86.1094462076823
PhilipsManolo,Oct,BiLSTM,129.5408006655685,87.6667989095052
PhilipsManolo,Oct,Transformer,137.7235638859892,87.21993001302083
PhilipsManolo,Nov,ARIMA,254.79202391521386,173.80644414614673
PhilipsManolo,Nov,LSTM,66.64041469437618,58.5639902750651
PhilipsManolo,Nov,GRU,68.36690433140551,59.24422709147135
PhilipsManolo,Nov,LSTM-GRU,65.90614928728569,57.247100830078125
PhilipsManolo,Nov,BiLSTM,67.42871136958239,58.46452331542969
PhilipsManolo,Nov,Transformer,47.22005033386562,42.2075449625651
PhilipsManolo,Dec,ARIMA,89.02057457951534,78.22698318486304
PhilipsManolo,Dec,LSTM,36.05170269166717,25.67449900309245
PhilipsManolo,Dec,GRU,34.38935530504532,24.06334126790365
PhilipsManolo,Dec,LSTM-GRU,33.15651336772825,21.487161763509118
PhilipsManolo,Dec,BiLSTM,35.06485355328993,24.68982391357422
PhilipsManolo,Dec,Transformer,43.972045700344744,36.36104024251302
Sasa,Jan,ARIMA,113.64793603934578,93.18189583513191
Sasa,Jan,LSTM,176.88605749610747,130.3012878417969
Sasa,Jan,GRU,182.01637303276698,132.74299926757814
Sasa,Jan,LSTM-GRU,179.14323498459964,131.75904642740886
Sasa,Jan,BiLSTM,180.41152416566788,132.49801432291667
Sasa,Jan,Transformer,192.50083878741924,146.7901814778646
Sasa,Feb,ARIMA,66.28442860048189,38.81755719914776
Sasa,Feb,LSTM,77.017552442087,69.87618408203126
Sasa,Feb,GRU,77.9657980595231,69.94153238932292
Sasa,Feb,LSTM-GRU,80.13428837353871,73.51607666015626
Sasa,Feb,BiLSTM,79.07354741095723,72.46463419596354
Sasa,Feb,Transformer,88.07232225552804,82.80511627197266
Sasa,Mar,ARIMA,75.00025120974541,45.573548922948866
Sasa,Mar,LSTM,39.64830435430033,35.86340433756511
Sasa,Mar,GRU,39.14687330519284,32.41073710123698
Sasa,Mar,LSTM-GRU,39.38567596540581,34.830257161458334
Sasa,Mar,BiLSTM,41.33652010983022,37.473130289713545
Sasa,Mar,Transformer,40.18993122672205,32.70504302978516
Sasa,Apr,ARIMA,86.66368114941838,76.97737436648823
Sasa,Apr,LSTM,55.451742467442244,36.833728027343746
Sasa,Apr,GRU,53.69723626404342,36.095716349283855
Sasa,Apr,LSTM-GRU,53.959699702849186,37.145129394531246
Sasa,Apr,BiLSTM,52.95693819878383,37.02298278808593
Sasa,Apr,Transformer,58.37292956550231,34.0009516398112
Sasa,May,ARIMA,146.39644600205952,142.11513681712162
Sasa,May,LSTM,65.9207664306615,44.36156819661459
Sasa,May,GRU,72.74395459156123,52.802150472005216
Sasa,May,LSTM-GRU,69.09806470707352,47.38636983235677
Sasa,May,BiLSTM,65.2214878097025,44.463145955403654
Sasa,May,Transformer,65.63756961725613,44.199962361653654
Sasa,Jun,ARIMA,112.75088650627416,89.98369431783436
Sasa,Jun,LSTM,28.040907109451336,24.50506286621093
Sasa,Jun,GRU,23.349814245294585,20.427644856770826
Sasa,Jun,LSTM-GRU,29.656044713958572,24.289084879557283
Sasa,Jun,BiLSTM,28.130484145455007,26.401745605468744
Sasa,Jun,Transformer,39.64439402011765,27.24066772460937
Sasa,Jul,ARIMA,232.53060969512637,190.49689554778695
Sasa,Jul,LSTM,42.812458126136676,41.98262125651041
Sasa,Jul,GRU,44.44326534927214,44.17585347493489
Sasa,Jul,LSTM-GRU,44.164483312959106,43.58183390299479
Sasa,Jul,BiLSTM,42.47310110201275,41.672064208984374
Sasa,Jul,Transformer,51.286307950949116,48.21599934895833
Sasa,Aug,ARIMA,141.3401093065554,111.91847547429846
Sasa,Aug,LSTM,52.96162455177143,44.09489949544271
Sasa,Aug,GRU,60.599358295856355,51.54405212402344
Sasa,Aug,LSTM-GRU,52.82439472158022,43.938751220703125
Sasa,Aug,BiLSTM,50.46606542421331,41.30633036295573
Sasa,Aug,Transformer,69.43311268111701,61.8709716796875
Sasa,Sep,ARIMA,54.60331469189608,44.71542702312971
Sasa,Sep,LSTM,95.71811284127409,90.22473958333332
