Location,Month,Year,Model,Actual,Predicted
Malaybalay,Apr,1952,BiLSTM,69.7,
Malaybalay,Apr,1952,Transformer,69.7,
Malaybalay,Apr,1953,ARIMA,66.1,69.0256174577948
Malaybalay,Apr,1953,LSTM,66.1,
Malaybalay,Apr,1953,GRU,66.1,
Malaybalay,Apr,1953,LSTM-GRU,66.1,
Malaybalay,Apr,1953,BiLSTM,66.1,
Malaybalay,Apr,1953,Transformer,66.1,
Malaybalay,Apr,1954,ARIMA,24.5,0.0
Malaybalay,Apr,1954,LSTM,24.5,
Malaybalay,Apr,1954,GRU,24.5,
Malaybalay,Apr,1954,LSTM-GRU,24.5,
Malaybalay,Apr,1954,BiLSTM,24.5,
Malaybalay,Apr,1954,Transformer,24.5,
Malaybalay,Apr,2011,ARIMA,72.9,
Malaybalay,Apr,2011,LSTM,72.9,99.82117462158203
Malaybalay,Apr,2011,GRU,72.9,89.92996978759766
Malaybalay,Apr,2011,LSTM-GRU,72.9,97.07019805908203
Malaybalay,Apr,2011,BiLSTM,72.9,103.79735565185547
Malaybalay,Apr,2011,Transformer,72.9,106.93733978271484
Malaybalay,Apr,2012,ARIMA,103.0,
Malaybalay,Apr,2012,LSTM,103.0,71.6358642578125
Malaybalay,Apr,2012,GRU,103.0,67.60990142822266
Malaybalay,Apr,2012,LSTM-GRU,103.0,68.38642883300781
Malaybalay,Apr,2012,BiLSTM,103.0,73.18648529052734
Malaybalay,Apr,2012,Transformer,103.0,106.93733978271484
Malaybalay,Apr,2013,ARIMA,234.9,
Malaybalay,Apr,2013,LSTM,234.9,68.54942321777344
Malaybalay,Apr,2013,GRU,234.9,70.8887710571289
Malaybalay,Apr,2013,LSTM-GRU,234.9,65.91808319091797
Malaybalay,Apr,2013,BiLSTM,234.9,67.1957778930664
Malaybalay,Apr,2013,Transformer,234.9,106.93733978271484
Malaybalay,May,1952,ARIMA,388.9,371.9988497665949
Malaybalay,May,1952,LSTM,388.9,
Malaybalay,May,1952,GRU,388.9,
Malaybalay,May,1952,LSTM-GRU,388.9,
Malaybalay,May,1952,BiLSTM,388.9,
Malaybalay,May,1952,Transformer,388.9,
Malaybalay,May,1953,ARIMA,362.0,386.2338659185177
Malaybalay,May,1953,LSTM,362.0,
Malaybalay,May,1953,GRU,362.0,
Malaybalay,May,1953,LSTM-GRU,362.0,
Malaybalay,May,1953,BiLSTM,362.0,
Malaybalay,May,1953,Transformer,362.0,
Malaybalay,May,1954,ARIMA,287.3,0.0
Malaybalay,May,1954,LSTM,287.3,
Malaybalay,May,1954,GRU,287.3,
Malaybalay,May,1954,LSTM-GRU,287.3,
Malaybalay,May,1954,BiLSTM,287.3,
Malaybalay,May,1954,Transformer,287.3,
Malaybalay,May,2011,ARIMA,421.3,
Malaybalay,May,2011,LSTM,421.3,217.28001403808594
Malaybalay,May,2011,GRU,421.3,209.70982360839844
Malaybalay,May,2011,LSTM-GRU,421.3,222.59832763671875
Malaybalay,May,2011,BiLSTM,421.3,224.02891540527344
Malaybalay,May,2011,Transformer,421.3,217.68020629882812
Malaybalay,May,2012,ARIMA,518.9,
Malaybalay,May,2012,LSTM,518.9,223.3622283935547
Malaybalay,May,2012,GRU,518.9,217.50540161132812
Malaybalay,May,2012,LSTM-GRU,518.9,224.7869873046875
Malaybalay,May,2012,BiLSTM,518.9,219.34136962890625
Malaybalay,May,2012,Transformer,518.9,217.68020629882812
Malaybalay,May,2013,ARIMA,184.8,
Malaybalay,May,2013,LSTM,184.8,221.39608764648438
Malaybalay,May,2013,GRU,184.8,223.31256103515625
Malaybalay,May,2013,LSTM-GRU,184.8,223.8826904296875
Malaybalay,May,2013,BiLSTM,184.8,223.38063049316406
Malaybalay,May,2013,Transformer,184.8,217.68020629882812
Malaybalay,Jun,1952,ARIMA,401.1,334.5542674127336
Malaybalay,Jun,1952,LSTM,401.1,
Malaybalay,Jun,1952,GRU,401.1,
Malaybalay,Jun,1952,LSTM-GRU,401.1,
Malaybalay,Jun,1952,BiLSTM,401.1,
Malaybalay,Jun,1952,Transformer,401.1,
Malaybalay,Jun,1953,ARIMA,246.6,396.66490045874974
Malaybalay,Jun,1953,LSTM,246.6,
Malaybalay,Jun,1953,GRU,246.6,
Malaybalay,Jun,1953,LSTM-GRU,246.6,
Malaybalay,Jun,1953,BiLSTM,246.6,
Malaybalay,Jun,1953,Transformer,246.6,
Malaybalay,Jun,1954,ARIMA,375.4,0.0
Malaybalay,Jun,1954,LSTM,375.4,
Malaybalay,Jun,1954,GRU,375.4,
Malaybalay,Jun,1954,LSTM-GRU,375.4,
Malaybalay,Jun,1954,BiLSTM,375.4,
Malaybalay,Jun,1954,Transformer,375.4,
Malaybalay,Jun,2011,ARIMA,379.6,
Malaybalay,Jun,2011,LSTM,379.6,303.33203125
Malaybalay,Jun,2011,GRU,379.6,299.85443115234375
Malaybalay,Jun,2011,LSTM-GRU,379.6,303.9844665527344
Malaybalay,Jun,2011,BiLSTM,379.6,304.2185974121094
Malaybalay,Jun,2011,Transformer,379.6,296.3965759277344
Malaybalay,Jun,2012,ARIMA,366.3,
Malaybalay,Jun,2012,LSTM,366.3,309.66217041015625
Malaybalay,Jun,2012,GRU,366.3,310.6687316894531
Malaybalay,Jun,2012,LSTM-GRU,366.3,307.7018737792969
Malaybalay,Jun,2012,BiLSTM,366.3,304.4111633300781
Malaybalay,Jun,2012,Transformer,366.3,296.3965759277344
Malaybalay,Jun,2013,ARIMA,313.5,
Malaybalay,Jun,2013,LSTM,313.5,313.71258544921875
Malaybalay,Jun,2013,GRU,313.5,311.0799560546875
Malaybalay,Jun,2013,LSTM-GRU,313.5,309.6355285644531
Malaybalay,Jun,2013,BiLSTM,313.5,303.8179626464844
Malaybalay,Jun,2013,Transformer,313.5,296.3965759277344
Malaybalay,Jul,1952,ARIMA,509.9,427.98382125844535
Malaybalay,Jul,1952,LSTM,509.9,
Malaybalay,Jul,1952,GRU,509.9,
Malaybalay,Jul,1952,LSTM-GRU,509.9,
Malaybalay,Jul,1952,BiLSTM,509.9,
Malaybalay,Jul,1952,Transformer,509.9,
Malaybalay,Jul,1953,ARIMA,359.0,504.6543042163701
Malaybalay,Jul,1953,LSTM,359.0,
Malaybalay,Jul,1953,GRU,359.0,
Malaybalay,Jul,1953,LSTM-GRU,359.0,
Malaybalay,Jul,1953,BiLSTM,359.0,
Malaybalay,Jul,1953,Transformer,359.0,
Malaybalay,Jul,1954,ARIMA,416.5,0.0
Malaybalay,Jul,1954,LSTM,416.5,
Malaybalay,Jul,1954,GRU,416.5,
Malaybalay,Jul,1954,LSTM-GRU,416.5,
Malaybalay,Jul,1954,BiLSTM,416.5,
Malaybalay,Jul,1954,Transformer,416.5,
Malaybalay,Jul,2011,ARIMA,494.9,
Malaybalay,Jul,2011,LSTM,494.9,325.46478271484375
Malaybalay,Jul,2011,GRU,494.9,327.2542724609375
Malaybalay,Jul,2011,LSTM-GRU,494.9,323.8696594238281
Malaybalay,Jul,2011,BiLSTM,494.9,326.6913757324219
Malaybalay,Jul,2011,Transformer,494.9,310.91180419921875
Malaybalay,Jul,2012,ARIMA,441.5,
Malaybalay,Jul,2012,LSTM,441.5,334.2428894042969
Malaybalay,Jul,2012,GRU,441.5,328.5843200683594
Malaybalay,Jul,2012,LSTM-GRU,441.5,325.6996765136719
Malaybalay,Jul,2012,BiLSTM,441.5,329.6974182128906
Malaybalay,Jul,2012,Transformer,441.5,310.91180419921875
Malaybalay,Jul,2013,ARIMA,326.8,
Malaybalay,Jul,2013,LSTM,326.8,341.0226745605469
Malaybalay,Jul,2013,GRU,326.8,328.8016357421875
Malaybalay,Jul,2013,LSTM-GRU,326.8,327.4865417480469
Malaybalay,Jul,2013,BiLSTM,326.8,331.7384948730469
Malaybalay,Jul,2013,Transformer,326.8,310.91180419921875
Malaybalay,Aug,1952,ARIMA,347.2,330.5120742386151
Malaybalay,Aug,1952,LSTM,347.2,
Malaybalay,Aug,1952,GRU,347.2,
Malaybalay,Aug,1952,LSTM-GRU,347.2,
Malaybalay,Aug,1952,BiLSTM,347.2,
Malaybalay,Aug,1952,Transformer,347.2,
Malaybalay,Aug,1953,ARIMA,320.7,343.70214393612787
Malaybalay,Aug,1953,LSTM,320.7,
Malaybalay,Aug,1953,GRU,320.7,
Malaybalay,Aug,1953,LSTM-GRU,320.7,
Malaybalay,Aug,1953,BiLSTM,320.7,
Malaybalay,Aug,1953,Transformer,320.7,
Malaybalay,Aug,1954,ARIMA,363.6,0.0
Malaybalay,Aug,1954,LSTM,363.6,
Malaybalay,Aug,1954,GRU,363.6,
Malaybalay,Aug,1954,LSTM-GRU,363.6,
Malaybalay,Aug,1954,BiLSTM,363.6,
Malaybalay,Aug,1954,Transformer,363.6,
Malaybalay,Aug,2011,ARIMA,571.0,
Malaybalay,Aug,2011,LSTM,571.0,320.3092346191406
Malaybalay,Aug,2011,GRU,571.0,314.53594970703125
Malaybalay,Aug,2011,LSTM-GRU,571.0,315.5086669921875
Malaybalay,Aug,2011,BiLSTM,571.0,325.1629333496094
Malaybalay,Aug,2011,Transformer,571.0,296.70867919921875
Malaybalay,Aug,2012,ARIMA,227.0,
Malaybalay,Aug,2012,LSTM,227.0,332.527587890625
Malaybalay,Aug,2012,GRU,227.0,325.8399963378906
Malaybalay,Aug,2012,LSTM-GRU,227.0,321.94049072265625
Malaybalay,Aug,2012,BiLSTM,227.0,329.8661804199219
Malaybalay,Aug,2012,Transformer,227.0,296.70867919921875
Malaybalay,Aug,2013,ARIMA,313.8,
Malaybalay,Aug,2013,LSTM,313.8,324.8304138183594
Malaybalay,Aug,2013,GRU,313.8,320.1118469238281
Malaybalay,Aug,2013,LSTM-GRU,313.8,317.2696533203125
Malaybalay,Aug,2013,BiLSTM,313.8,323.315673828125
Malaybalay,Aug,2013,Transformer,313.8,296.70867919921875
Malaybalay,Sep,1952,ARIMA,480.7,451.5753902911557
Malaybalay,Sep,1952,LSTM,480.7,
Malaybalay,Sep,1952,GRU,480.7,
Malaybalay,Sep,1952,LSTM-GRU,480.7,
Malaybalay,Sep,1952,BiLSTM,480.7,
Malaybalay,Sep,1952,Transformer,480.7,
Malaybalay,Sep,1953,ARIMA,411.9,474.6813834986336
Malaybalay,Sep,1953,LSTM,411.9,
Malaybalay,Sep,1953,GRU,411.9,
Malaybalay,Sep,1953,LSTM-GRU,411.9,
Malaybalay,Sep,1953,BiLSTM,411.9,
Malaybalay,Sep,1953,Transformer,411.9,
Malaybalay,Sep,1954,ARIMA,336.0,0.0
Malaybalay,Sep,1954,LSTM,336.0,
Malaybalay,Sep,1954,GRU,336.0,
Malaybalay,Sep,1954,LSTM-GRU,336.0,
Malaybalay,Sep,1954,BiLSTM,336.0,
Malaybalay,Sep,1954,Transformer,336.0,
Malaybalay,Sep,2011,ARIMA,279.6,
Malaybalay,Sep,2011,LSTM,279.6,306.8645324707031
Malaybalay,Sep,2011,GRU,279.6,306.9966735839844
Malaybalay,Sep,2011,LSTM-GRU,279.6,303.31231689453125
Malaybalay,Sep,2011,BiLSTM,279.6,310.6961975097656
Malaybalay,Sep,2011,Transformer,279.6,289.59466552734375
Malaybalay,Sep,2012,ARIMA,310.2,
Malaybalay,Sep,2012,LSTM,310.2,310.976806640625
Malaybalay,Sep,2012,GRU,310.2,312.726318359375
Malaybalay,Sep,2012,LSTM-GRU,310.2,306.7588806152344
Malaybalay,Sep,2012,BiLSTM,310.2,314.3588562011719
Malaybalay,Sep,2012,Transformer,310.2,289.59466552734375
Malaybalay,Sep,2013,ARIMA,159.5,
Malaybalay,Sep,2013,LSTM,159.5,309.4725341796875
Malaybalay,Sep,2013,GRU,159.5,311.9162902832031
Malaybalay,Sep,2013,LSTM-GRU,159.5,305.57586669921875
Malaybalay,Sep,2013,BiLSTM,159.5,313.95343017578125
Malaybalay,Sep,2013,Transformer,159.5,289.59466552734375
Malaybalay,Oct,1952,ARIMA,394.7,326.26518496838304
Malaybalay,Oct,1952,LSTM,394.7,
Malaybalay,Oct,1952,GRU,394.7,
Malaybalay,Oct,1952,LSTM-GRU,394.7,
Malaybalay,Oct,1952,BiLSTM,394.7,
Malaybalay,Oct,1952,Transformer,394.7,
Malaybalay,Oct,1953,ARIMA,297.9,391.817640698941
Malaybalay,Oct,1953,LSTM,297.9,
Malaybalay,Oct,1953,GRU,297.9,
Malaybalay,Oct,1953,LSTM-GRU,297.9,
Malaybalay,Oct,1953,BiLSTM,297.9,
Malaybalay,Oct,1953,Transformer,297.9,
Malaybalay,Oct,1954,ARIMA,426.4,0.0
Malaybalay,Oct,1954,LSTM,426.4,
Malaybalay,Oct,1954,GRU,426.4,
Malaybalay,Oct,1954,LSTM-GRU,426.4,
Malaybalay,Oct,1954,BiLSTM,426.4,
Malaybalay,Oct,1954,Transformer,426.4,
Malaybalay,Oct,2011,ARIMA,263.2,
Malaybalay,Oct,2011,LSTM,263.2,342.709716796875
Malaybalay,Oct,2011,GRU,263.2,308.1951599121094
Malaybalay,Oct,2011,LSTM-GRU,263.2,334.0648193359375
Malaybalay,Oct,2011,BiLSTM,263.2,334.7576904296875
Malaybalay,Oct,2011,Transformer,263.2,296.6284484863281
Malaybalay,Oct,2012,ARIMA,175.5,
Malaybalay,Oct,2012,LSTM,175.5,346.3319091796875
Malaybalay,Oct,2012,GRU,175.5,317.77740478515625
Malaybalay,Oct,2012,LSTM-GRU,175.5,337.8543395996094
