Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Malaybalay,1990, 92.7 , 14.5 , 40.5 , 66.2 , 330.7 , 267.4 , 225.5 , 332.7 , 338.0 , 174.4 , 290.2 , 41.8 
Malaybalay,1991, 147.4 , 82.3 , 41.0 , 85.9 , 264.5 , 263.6 , 263.5 , 230.5 , 96.4 , 285.0 , 143.1 , 45.3 
Malaybalay,1992, 85.5 , 11.2 , 13.7 , 23.8 , 236.4 , 306.6 , 582.9 , 316.9 , 218.2 , 504.8 , 126.4 , 132.8 
Malaybalay,1993, 57.7 , 194.7 , 146.3 , 78.6 , 67.0 , 206.7 , 456.0 , 184.3 , 250.8 , 397.3 , 263.5 , 216.1 
Malaybalay,1994, 94.1 , 148.8 , 148.2 , 91.7 , 211.5 , 314.5 , 185.2 , 249.5 , 318.0 , 305.9 , 50.2 , 98.6 
Malaybalay,1995, 227.2 , 116.9 , 154.0 , 108.3 , 248.3 , 295.5 , 343.3 , 388.8 , 543.6 , 295.7 , 200.0 , 221.3 
Malaybalay,1996, 112.2 , 98.9 , 69.2 , 226.3 , 216.3 , 265.8 , 263.3 , 229.5 , 196.4 , 282.2 , 271.7 , 38.6 
Malaybalay,1997, 141.9 , 110.3 , 206.2 , 149.4 , 318.9 , 285.3 , 437.7 , 256.8 , 379.2 , 375.8 , 118.7 , 53.0 
Malaybalay,1998, 68.3 , 20.2 , 12.5 , 7.4 , 150.5 , 239.6 , 361.0 , 184.6 , 236.7 , 201.1 , 241.1 , 141.8 
Malaybalay,1999, 336.6 , 191.3 , 340.8 , 628.3 , 252.0 , 269.9 , 274.6 , 303.7 , 500.5 , 180.8 , 160.6 , 182.1 
Malaybalay,2000, 146.8 , 253.6 , 171.2 , 114.4 , 267.7 , 579.0 , 413.0 , 317.2 , 153.6 , 421.5 , 151.6 , 157.5 
Malaybalay,2001, 81.1 , 137.9 , 183.3 , 103.8 , 422.1 , 348.6 , 242.5 , 168.0 , 392.8 , 167.6 , 269.5 , 157.2 
Malaybalay,2002, 115.4 , 96.6 , 50.7 , 35.1 , 161.9 , 537.3 , 280.2 , 165.2 , 194.8 , 211.7 , 104.6 , 51.6 
Malaybalay,2003, 147.3 , 107.2 , 42.5 , 38.9 , 275.4 , 244.0 , 517.5 , 410.4 , 309.9 , 346.6 , 266.3 , 266.7 
Malaybalay,2004, 55.5 , 202.0 , 116.5 , 56.2 , 242.2 , 346.8 , 317.4 , 143.3 , 357.3 , 183.2 , 74.7 , 78.4 
Malaybalay,2005, 42.8 , 7.1 , 130.2 , 32.2 , 228.9 , 267.9 , 234.1 , 347.5 , 402.3 , 352.3 , 97.2 , 243.0 
Malaybalay,2006, 107.9 , 98.5 , 105.2 , 42.7 , 115.9 , 246.8 , 275.7 , 210.6 , 249.9 , 350.6 , 170.5 , 46.1 
Malaybalay,2007, 178.2 , 29.6 , 37.8 , 157.6 , 268.4 , 250.5 , 266.2 , 436.8 , 334.3 , 385.7 , 331.4 , 121.3 
Malaybalay,2008, 206.4 , 180.0 , 105.3 , 181.6 , 211.5 , 231.9 , 339.0 , 438.4 , 293.2 , 350.9 , 175.2 , 272.8 
Malaybalay,2009, 312.2 , 179.8 , 63.8 , 377.5 , 250.2 , 301.7 , 553.2 , 208.8 , 292.5 , 234.0 , 165.3 , 61.7 
Malaybalay,2010, 131.9 , 75.3 , 32.7 , 48.4 , 122.1 , 416.5 , 317.2 , 474.3 , 349.0 , 605.8 , 61.8 , 191.5 
Malaybalay,2011, 380.5 , 269.5 , 113.4 , 72.9 , 421.3 , 379.6 , 494.9 , 571.0 , 279.6 , 263.2 , 253.7 , 306.4 
Malaybalay,2012, 181.4 , 139.4 , 203.0 , 103.0 , 518.9 , 366.3 , 441.5 , 227.0 , 310.2 , 175.5 , 111.3 , 301.6 
Malaybalay,2013, 409.1 , 222.9 , 105.9 , 234.9 , 184.8 , 313.5 , 326.8 , 313.8 , 159.5 , 325.8 , 250.0 , 86.2 
Lumbia,1977, 42.9 , 156.6 , 16.7 , 62.0 , 81.4 , 83.6 , 319.9 , 369.4 , 16.9 , 68.4 , 215.4 , 11.2 
Lumbia,1978, 52.7 , 33.5 , 9.5 , 80.2 , 103.0 , 165.1 , 248.5 , 197.3 , 275.3 , 177.2 , 102.5 , 129.4 
Lumbia,1979, 16.2 , 0.8 , 12.7 , 17.6 , 196.3 , 334.3 , 274.6 , 85.2 , 271.1 , 158.8 , 36.5 , 107.2 
Lumbia,1980, 59.1 , 75.0 , 51.2 , 40.4 , 61.1 , 342.6 , 116.1 , 331.0 , 210.3 , 423.3 , 69.8 , 178.7 
Lumbia,1981, 312.8 , 54.3 , 14.4 , 62.0 , 103.8 , 158.8 , 308.0 , 48.4 , 179.4 , 115.9 , 127.3 , 57.3 
Lumbia,1982, 248.1 , 160.6 , 108.0 , 27.2 , 57.5 , 169.4 , 116.9 , 285.9 , 144.4 , 254.5 , 34.2 , 28.5 
Lumbia,1983, 9.1 , 76.8 , 51.2 , 62.0 , 2.0 , 169.3 , 372.3 , 346.4 , 245.1 , 221.1 , 74.7 , 42.2 
Lumbia,1984, 38.1 , 53.2 , 137.9 , 148.5 , 125.8 , 207.2 , 229.6 , 87.2 , 168.2 , 157.2 , 17.2 , 98.6 
Lumbia,1985, 130.5 , 2.3 , 5.8 , 62.0 , 112.0 , 117.2 , 276.7 , 315.1 , 246.1 , 207.6 , 122.1 , 281.4 
Lumbia,1986, 264.6 , 15.1 , 28.9 , 36.4 , 90.3 , 226.2 , 203.1 , 161.8 , 184.8 , 222.2 , 86.7 , 63.9 
Lumbia,1987, 20.2 , 65.3 , 13.8 , 62.0 , 107.9 , 194.6 , 200.4 , 247.9 , 33.0 , 41.5 , 107.7 , 61.5 
Lumbia,1988, 2.1 , 15.2 , 28.5 , 47.2 , 99.7 , 169.5 , 252.5 , 131.5 , 318.4 , 176.5 , 190.0 , 123.4 
Lumbia,1989, 86.1 , 93.2 , 84.8 , 32.7 , 312.8 , 403.9 , 221.4 , 200.2 , 253.2 , 219.2 , 96.8 , 77.9 
Lumbia,1990, 29.2 , 76.8 , 9.2 , 2.5 , 244.9 , 187.6 , 224.4 , 120.9 , 336.3 , 141.8 , 593.4 , 74.3 
Lumbia,1991, 67.2 , 13.3 , 78.7 , 70.9 , 67.5 , 172.3 , 359.4 , 123.9 , 113.0 , 206.5 , 132.2 , 11.1 
Lumbia,1992, 2.5 , 1.5 , 6.8 , 62.0 , 70.1 , 218.6 , 265.5 , 166.3 , 177.5 , 206.9 , 14.9 , 72.2 
Lumbia,1993, 33.1 , 157.1 , 31.3 , 24.1 , 31.8 , 75.0 , 244.2 , 200.6 , 400.8 , 259.2 , 118.5 , 255.7 
Lumbia,1994, 37.8 , 77.3 , 72.0 , 132.9 , 113.6 , 477.6 , 181.2 , 263.7 , 174.8 , 112.5 , 19.9 , 86.6 
Lumbia,1995, 71.1 , 27.0 , 59.1 , 20.6 , 83.0 , 201.9 , 260.9 , 296.9 , 268.2 , 165.2 , 136.9 , 259.0 
Lumbia,1996, 97.3 , 142.1 , 33.2 , 201.5 , 136.4 , 202.8 , 135.4 , 129.4 , 186.3 , 197.5 , 265.2 , 53.7 
Lumbia,1997, 136.8 , 32.1 , 98.2 , 0.4 , 135.0 , 184.5 , 285.7 , 100.2 , 306.7 , 234.7 , 52.2 , 48.3 
Lumbia,1998, 15.6 , 3.2 , 2.1 , 62.0 , 50.4 , 121.1 , 189.8 , 269.4 , 167.3 , 103.6 , 328.3 , 74.5 
Lumbia,1999, 151.5 , 255.0 , 125.5 , 165.9 , 167.7 , 94.3 , 370.7 , 186.4 , 128.0 , 175.8 , 195.7 , 289.7 
Lumbia,2000, 68.0 , 126.9 , 97.7 , 154.2 , 90.4 , 377.0 , 202.5 , 258.6 , 114.3 , 346.8 , 189.0 , 69.3 
Lumbia,2001, 19.9 , 84.2 , 121.8 , 26.5 , 227.4 , 158.2 , 315.2 , 238.4 , 243.1 , 128.0 , 300.6 , 137.3 
Lumbia,2002, 71.9 , 104.0 , 65.0 , 23.7 , 131.4 , 381.2 , 161.5 , 178.0 , 358.5 , 158.7 , 55.3 , 29.1 
Lumbia,2003, 35.4 , 13.5 , 3.1 , 0.1 , 127.0 , 254.2 , 285.3 , 235.2 , 337.6 , 157.4 , 81.6 , 401.7 
Lumbia,2004, 39.5 , 102.3 , 48.3 , 25.4 , 118.9 , 178.2 , 152.2 , 120.4 , 119.3 , 140.7 , 17.9 , 81.5 
Lumbia,2005, 28.8 , 9.7 , 68.5 , 3.0 , 186.2 , 204.0 , 217.8 , 241.2 , 288.9 , 167.7 , 32.7 , 160.8 
Lumbia,2006, 72.6 , 87.3 , 42.2 , 36.8 , 62.9 , 253.9 , 221.2 , 142.3 , 169.4 , 211.0 , 42.8 , 44.3 
Lumbia,2007, 85.6 , 47.4 , 2.8 , 24.2 , 135.2 , 248.0 , 212.5 , 233.1 , 181.6 , 209.8 , 160.8 , 99.2 
Lumbia,2008, 183.8 , 90.1 , 83.5 , 165.8 , 170.7 , 228.2 , 240.7 , 193.2 , 279.1 , 253.2 , 94.1 , 143.4 
Lumbia,2009, 457.0 , 207.1 , 1.0 , 136.8 , 233.7 , 189.9 , 307.8 , 138.7 , 209.7 , 105.1 , 329.3 , 36.0 
Lumbia,2010, 153.2 , 0.4 , 23.3 , 16.4 , 153.5 , 155.3 , 353.2 , 212.2 , 264.8 , 279.7 , 62.8 , 131.8 
Lumbia,2011, 181.3 , 166.3 , 130.7 , 34.9 , 118.3 , 231.6 , 182.5 , 226.8 , 232.3 , 209.1 , 115.6 , 333.6 
Lumbia,2012, 24.2 , 122.9 , 67.4 , 74.2 , 152.7 , 144.9 , 273.7 , 174.6 , 200.3 , 185.2 , 42.3 , 207.0 
Lumbia,2013, 211.1 , 93.3 , 61.2 , 89.3 , 201.1 , 310.2 , 279.7 , 211.4 , 162.0 , 186.5 , 103.5 , 13.7 
Kisolon,1980, 120 , 89 , 96 , 114 , 220 , 288 , 178 , 341 , 320 , 513 , 159 , 244 
Kisolon,1981, 416 , 50 , 19 , 2 , 220 , 288 , 253 , 224 , 262 , 231 , 162 , 139 
Kisolon,1982, 120 , 89 , 96 , 114 , 220 , 288 , 253 , 52 , 0 , 29 , 107 , 175 
Kisolon,1983, 7 , 10 , 96 , 114 , 220 , 288 , 253 , 224 , 262 , 231 , 162 , 139 
Kisolon,1984, 106 , 134 , 260 , 94 , 350 , 424 , 2 , 99 , 346 , 683 , 97 , 108 
Kisolon,1985, 266 , 44 , 62 , 188 , 315 , 221 , 236 , 126 , 291 , 220 , 88 , 110 
Kisolon,1986, 3 , 44 , 6 , 453 , 155 , 27 , 253 , 121 , 625 , 148 , 263 , 93 
Kisolon,1987, 105 , 89 , 96 , 114 , 161 , 648 , 345 , 577 , 47 , 18 , 90 , 34 
